[85, 170, 6, 4, 1, 1, 0, 6, 0]
[85, 170, 6, 4, 1, True, 1, 7, 0]
{'voltage': 238.45600000000002, 'current': 0.04, 'voltage_peak': 337.22700000000003, 'current_peak': 0.05, 'Power_factor': 0.4864, 'Frequency': 50.18, 'Active_Power': 1844674407370955.2, 'Reactive_Power': 1844674407370955.2, 'Apparent_Power': 0.0037, 'Active_Energy': 0.0, 'time': '2023-02-27 11:26:36', 'reactive_energy': 0.0, 'apparent_energy': 0.0}
{'voltage': 238.45600000000002, 'current': 0.04, 'voltage_peak': 337.22700000000003, 'current_peak': 0.05, 'Power_factor': 0.4864, 'Frequency': 50.18, 'Active_Power': 1844674407370955.2, 'Reactive_Power': 1844674407370955.2, 'Apparent_Power': 0.0037, 'Active_Energy': 0.0, 'time': '2023-02-27 11:26:36', 'reactive_energy': 0.0, 'apparent_energy': 0.0}
{'voltage': 238.366, 'current': 0.04, 'voltage_peak': 337.1, 'current_peak': 0.05, 'Power_factor': 0.5925, 'Frequency': 50.19, 'Active_Power': 1844674407370955.2, 'Reactive_Power': 0.0022, 'Apparent_Power': 0.0027, 'Active_Energy': 0.0, 'time': '2023-02-27 11:26:37', 'reactive_energy': 0.0, 'apparent_energy': 0.0}
{'voltage': 238.366, 'current': 0.04, 'voltage_peak': 337.1, 'current_peak': 0.05, 'Power_factor': 0.5925, 'Frequency': 50.19, 'Active_Power': 1844674407370955.2, 'Reactive_Power': 0.0022, 'Apparent_Power': 0.0027, 'Active_Energy': 0.0, 'time': '2023-02-27 11:26:37', 'reactive_energy': 0.0, 'apparent_energy': 0.0}
{'voltage': 238.109, 'current': 0.04, 'voltage_peak': 336.736, 'current_peak': 0.05, 'Power_factor': 0.3684, 'Frequency': 50.19, 'Active_Power': 0.0007, 'Reactive_Power': 1844674407370955.2, 'Apparent_Power': 0.0019, 'Active_Energy': 0.0, 'time': '2023-02-27 11:26:38', 'reactive_energy': 0.0, 'apparent_energy': 0.0}
{'voltage': 238.109, 'current': 0.04, 'voltage_peak': 336.736, 'current_peak': 0.05, 'Power_factor': 0.3684, 'Frequency': 50.19, 'Active_Power': 0.0007, 'Reactive_Power': 1844674407370955.2, 'Apparent_Power': 0.0019, 'Active_Energy': 0.0, 'time': '2023-02-27 11:26:38', 'reactive_energy': 0.0, 'apparent_energy': 0.0}
{'voltage': 238.079, 'current': 0.04, 'voltage_peak': 336.694, 'current_peak': 0.05, 'Power_factor': 0.5555, 'Frequency': 50.17, 'Active_Power': 1844674407370955.2, 'Reactive_Power': 1844674407370955.2, 'Apparent_Power': 0.0009000000000000001, 'Active_Energy': 0.0, 'time': '2023-02-27 11:26:39', 'reactive_energy': 0.0, 'apparent_energy': 0.0}
{'voltage': 238.079, 'current': 0.04, 'voltage_peak': 336.694, 'current_peak': 0.05, 'Power_factor': 0.5555, 'Frequency': 50.17, 'Active_Power': 1844674407370955.2, 'Reactive_Power': 1844674407370955.2, 'Apparent_Power': 0.0009000000000000001, 'Active_Energy': 0.0, 'time': '2023-02-27 11:26:39', 'reactive_energy': 0.0, 'apparent_energy': 0.0}
{'voltage': 237.883, 'current': 0.04, 'voltage_peak': 336.41700000000003, 'current_peak': 0.05, 'Power_factor': 1.0, 'Frequency': 50.18, 'Active_Power': 1844674407370955.2, 'Reactive_Power': 1844674407370955.2, 'Apparent_Power': 0.0018000000000000002, 'Active_Energy': 0.0, 'time': '2023-02-27 11:26:40', 'reactive_energy': 0.0, 'apparent_energy': 0.0}
{'voltage': 237.883, 'current': 0.04, 'voltage_peak': 336.41700000000003, 'current_peak': 0.05, 'Power_factor': 1.0, 'Frequency': 50.18, 'Active_Power': 1844674407370955.2, 'Reactive_Power': 1844674407370955.2, 'Apparent_Power': 0.0018000000000000002, 'Active_Energy': 0.0, 'time': '2023-02-27 11:26:40', 'reactive_energy': 0.0, 'apparent_energy': 0.0}
